,clf,metric,value,section_split,model,train_type,section_pooling,optimized_section,patient_pooling
9,logistic,micro recall,0.5597365945437441,semantic,ClinicalBERT,pretrained,mean,True,pca
10,logistic,macro precision,0.5110566416105685,semantic,ClinicalBERT,pretrained,mean,True,pca
11,logistic,macro recall,0.3735216175480743,semantic,ClinicalBERT,pretrained,mean,True,pca
0,RF,micro precision,0.6627450980392157,semantic,ClinicalBERT,pretrained,mean,False,mean
1,RF,micro recall,0.4769520225776105,semantic,ClinicalBERT,pretrained,mean,False,mean
2,RF,macro precision,0.3289868495350123,semantic,ClinicalBERT,pretrained,mean,False,mean
3,RF,macro recall,0.2457909542270058,semantic,ClinicalBERT,pretrained,mean,False,mean
4,MLP,micro precision,0.6522210184182016,semantic,ClinicalBERT,pretrained,mean,False,mean
5,MLP,micro recall,0.5663217309501412,semantic,ClinicalBERT,pretrained,mean,False,mean
6,MLP,macro precision,0.5048805390762952,semantic,ClinicalBERT,pretrained,mean,False,mean
7,MLP,macro recall,0.3994112916819943,semantic,ClinicalBERT,pretrained,mean,False,mean
8,logistic,micro precision,0.6823104693140795,semantic,ClinicalBERT,pretrained,mean,False,mean
9,logistic,micro recall,0.5333960489181562,semantic,ClinicalBERT,pretrained,mean,False,mean
10,logistic,macro precision,0.5751240531362368,semantic,ClinicalBERT,pretrained,mean,False,mean
11,logistic,macro recall,0.2968558049083211,semantic,ClinicalBERT,pretrained,mean,False,mean
0,RF,micro precision,0.6520618556701031,semantic,ClinicalBERT,pretrained,mean,False,pca
1,RF,micro recall,0.4760112888052681,semantic,ClinicalBERT,pretrained,mean,False,pca
2,RF,macro precision,0.3564970316269195,semantic,ClinicalBERT,pretrained,mean,False,pca
3,RF,macro recall,0.2472607942197163,semantic,ClinicalBERT,pretrained,mean,False,pca
4,MLP,micro precision,0.6344676180021954,semantic,ClinicalBERT,pretrained,mean,False,pca
5,MLP,micro recall,0.5437441204139228,semantic,ClinicalBERT,pretrained,mean,False,pca
6,MLP,macro precision,0.5373091620288839,semantic,ClinicalBERT,pretrained,mean,False,pca
7,MLP,macro recall,0.3836281776740592,semantic,ClinicalBERT,pretrained,mean,False,pca
8,logistic,micro precision,0.6633771929824561,semantic,ClinicalBERT,pretrained,mean,False,pca
9,logistic,micro recall,0.5691439322671684,semantic,ClinicalBERT,pretrained,mean,False,pca
10,logistic,macro precision,0.5649325197840258,semantic,ClinicalBERT,pretrained,mean,False,pca
11,logistic,macro recall,0.3925362391589762,semantic,ClinicalBERT,pretrained,mean,False,pca
0,RF,micro precision,0.6330645161290323,semantic,ClinicalBERT_Discharge_Summary_BERT,finetuned,cls,True,mean
1,RF,micro recall,0.4430856067732832,semantic,ClinicalBERT_Discharge_Summary_BERT,finetuned,cls,True,mean
2,RF,macro precision,0.231316012513619,semantic,ClinicalBERT_Discharge_Summary_BERT,finetuned,cls,True,mean
3,RF,macro recall,0.2250905818601386,semantic,ClinicalBERT_Discharge_Summary_BERT,finetuned,cls,True,mean
4,MLP,micro precision,0.5772357723577236,semantic,ClinicalBERT_Discharge_Summary_BERT,finetuned,cls,True,mean
5,MLP,micro recall,0.5343367826904986,semantic,ClinicalBERT_Discharge_Summary_BERT,finetuned,cls,True,mean
6,MLP,macro precision,0.407201438567863,semantic,ClinicalBERT_Discharge_Summary_BERT,finetuned,cls,True,mean
7,MLP,macro recall,0.3520466125684002,semantic,ClinicalBERT_Discharge_Summary_BERT,finetuned,cls,True,mean
8,logistic,micro precision,0.6610576923076923,semantic,ClinicalBERT_Discharge_Summary_BERT,finetuned,cls,True,mean
9,logistic,micro recall,0.5174035747883349,semantic,ClinicalBERT_Discharge_Summary_BERT,finetuned,cls,True,mean
10,logistic,macro precision,0.5297682287404153,semantic,ClinicalBERT_Discharge_Summary_BERT,finetuned,cls,True,mean
11,logistic,macro recall,0.2877633783714647,semantic,ClinicalBERT_Discharge_Summary_BERT,finetuned,cls,True,mean
0,RF,micro precision,0.6356589147286822,semantic,ClinicalBERT_Discharge_Summary_BERT,finetuned,cls,True,pca
1,RF,micro recall,0.4628410159924741,semantic,ClinicalBERT_Discharge_Summary_BERT,finetuned,cls,True,pca
2,RF,macro precision,0.3274743479296761,semantic,ClinicalBERT_Discharge_Summary_BERT,finetuned,cls,True,pca
3,RF,macro recall,0.2378627738752732,semantic,ClinicalBERT_Discharge_Summary_BERT,finetuned,cls,True,pca
4,MLP,micro precision,0.5770750988142292,semantic,ClinicalBERT_Discharge_Summary_BERT,finetuned,cls,True,pca
5,MLP,micro recall,0.5493885230479775,semantic,ClinicalBERT_Discharge_Summary_BERT,finetuned,cls,True,pca
6,MLP,macro precision,0.3970338764052964,semantic,ClinicalBERT_Discharge_Summary_BERT,finetuned,cls,True,pca
7,MLP,macro recall,0.3666578281195772,semantic,ClinicalBERT_Discharge_Summary_BERT,finetuned,cls,True,pca
8,logistic,micro precision,0.6188925081433225,semantic,ClinicalBERT_Discharge_Summary_BERT,finetuned,cls,True,pca
9,logistic,micro recall,0.5362182502351834,semantic,ClinicalBERT_Discharge_Summary_BERT,finetuned,cls,True,pca
10,logistic,macro precision,0.4340344247394496,semantic,ClinicalBERT_Discharge_Summary_BERT,finetuned,cls,True,pca
11,logistic,macro recall,0.3483051533081136,semantic,ClinicalBERT_Discharge_Summary_BERT,finetuned,cls,True,pca
0,RF,micro precision,0.6381578947368421,semantic,ClinicalBERT_Discharge_Summary_BERT,finetuned,cls,False,mean
1,RF,micro recall,0.4562558795860771,semantic,ClinicalBERT_Discharge_Summary_BERT,finetuned,cls,False,mean
2,RF,macro precision,0.298609895055134,semantic,ClinicalBERT_Discharge_Summary_BERT,finetuned,cls,False,mean
3,RF,macro recall,0.233053945888904,semantic,ClinicalBERT_Discharge_Summary_BERT,finetuned,cls,False,mean
4,MLP,micro precision,0.6034669555796316,semantic,ClinicalBERT_Discharge_Summary_BERT,finetuned,cls,False,mean
5,MLP,micro recall,0.5239887111947319,semantic,ClinicalBERT_Discharge_Summary_BERT,finetuned,cls,False,mean
6,MLP,macro precision,0.4409524044566649,semantic,ClinicalBERT_Discharge_Summary_BERT,finetuned,cls,False,mean
7,MLP,macro recall,0.3657468014899571,semantic,ClinicalBERT_Discharge_Summary_BERT,finetuned,cls,False,mean
8,logistic,micro precision,0.6822541966426858,semantic,ClinicalBERT_Discharge_Summary_BERT,finetuned,cls,False,mean
9,logistic,micro recall,0.535277516462841,semantic,ClinicalBERT_Discharge_Summary_BERT,finetuned,cls,False,mean
10,logistic,macro precision,0.5721866187016272,semantic,ClinicalBERT_Discharge_Summary_BERT,finetuned,cls,False,mean
11,logistic,macro recall,0.3031572885720074,semantic,ClinicalBERT_Discharge_Summary_BERT,finetuned,cls,False,mean
0,RF,micro precision,0.6516709511568124,semantic,ClinicalBERT_Discharge_Summary_BERT,finetuned,cls,False,pca
1,RF,micro recall,0.4769520225776105,semantic,ClinicalBERT_Discharge_Summary_BERT,finetuned,cls,False,pca
2,RF,macro precision,0.3668302664638342,semantic,ClinicalBERT_Discharge_Summary_BERT,finetuned,cls,False,pca
3,RF,macro recall,0.2459018863014419,semantic,ClinicalBERT_Discharge_Summary_BERT,finetuned,cls,False,pca
4,MLP,micro precision,0.5966386554621849,semantic,ClinicalBERT_Discharge_Summary_BERT,finetuned,cls,False,pca
5,MLP,micro recall,0.5343367826904986,semantic,ClinicalBERT_Discharge_Summary_BERT,finetuned,cls,False,pca
6,MLP,macro precision,0.4162661995140017,semantic,ClinicalBERT_Discharge_Summary_BERT,finetuned,cls,False,pca
7,MLP,macro recall,0.3505165824969861,semantic,ClinicalBERT_Discharge_Summary_BERT,finetuned,cls,False,pca
8,logistic,micro precision,0.6241970021413277,semantic,ClinicalBERT_Discharge_Summary_BERT,finetuned,cls,False,pca
9,logistic,micro recall,0.548447789275635,semantic,ClinicalBERT_Discharge_Summary_BERT,finetuned,cls,False,pca
